id,archetype,registers,keywords,answers_question,required_elements,build_with,avoid_when,share_mbb_client_pct,share_banking_pct,source
1,exec-summary,consulting|banking,"executive summary, answer, key messages, synthesis",What is the answer and why should I believe it?,Governing answer in bold; 3-5 supporting arguments each with its key number; evidence dashes,dot-dash text (storyline.md §5),the deck has no single answer yet: fix the storyline first,4.8,2.0,deck-studio corpus study (research/corpus-findings.md)
2,text-structured,consulting,"structured text, bold lead-in, findings, dense page",What are the points and how do they group?,Action title; bold lead-in per point; <=5 blocks; source if claims are factual,2-column label/explanation grid,a chart would prove the point faster,17.9,6.5,deck-studio corpus study (research/corpus-findings.md)
3,chart-single,consulting|banking|keynote,"chart, single chart, evidence, trend, comparison",Does the data support the title's claim?,Action title naming the datum; one chart; accent on the datum; source line,native chart (finance-charts.md),two ideas compete: split the slide,12.5,7.9,deck-studio corpus study (research/corpus-findings.md)
4,chart-multi,banking|consulting,"multiple charts, dashboard, panels, small multiples",How do several related measures move together?,One shared claim; aligned axes; each panel labelled; one source block,2-4 aligned native charts,panels answer different questions,6.5,13.5,deck-studio corpus study (research/corpus-findings.md)
5,waterfall-bridge,consulting|banking,"waterfall, bridge, walk, variance, ebitda bridge",How did we get from A to B?,Steps that sum exactly; largest step in accent; totals labelled,finance-charts.md waterfall,more than ~8 steps or mixed periods,5.4,0.4,deck-studio corpus study (research/corpus-findings.md)
6,table-data,consulting|banking,"table, data table, comparison table, matrix",How do these items compare across the same attributes?,Right-aligned numerics; one precision per column; highlighted row for the subject; source,native table,fewer than 3 rows: use a sentence or a chart,7.1,17.0,deck-studio corpus study (research/corpus-findings.md)
7,comps-table,banking,"trading comps, comparable companies, multiples, peers",What do peers trade at and where does the subject sit?,EV and multiples columns; median row; subject row tinted; as-of date; definitions,finance-charts.md comps table,peer set not like-for-like,0.0,3.8,deck-studio corpus study (research/corpus-findings.md)
8,football-field,banking,"football field, valuation summary, valuation ranges, offer",What is it worth and where does the offer fall?,One bar per method with assumptions in the label; offer line; units; source,finance-charts.md football field,fewer than 3 methods,0.0,1.6,deck-studio corpus study (research/corpus-findings.md)
9,sensitivity-table,banking|consulting,"sensitivity, heat map table, wacc, terminal growth",How much does the answer move with the key assumptions?,Two variables; base case outlined; two-step fill against a threshold,finance-charts.md sensitivity table,the model is not built yet,0.0,2.3,deck-studio corpus study (research/corpus-findings.md)
10,financial-summary,banking,"financial summary, projections, p&l, management case",What does the business earn now and in the plan?,Periods as columns; case named; units line; margins as %,native table,used for a single number,0.0,5.6,deck-studio corpus study (research/corpus-findings.md)
11,framework-diagram,consulting,"framework, 2x2, matrix, driver tree, value chain",How is the problem structured?,Framework chosen by question (frameworks.md); labelled key element,shapes or bubble chart,decorative diagrams whose shape carries no meaning,7.1,0.4,deck-studio corpus study (research/corpus-findings.md)
12,findings-table,consulting,"observations, findings table, recommendations table, assessment",What did we observe and what do we recommend for each area?,"Columns: area, observation, implication/recommendation; bold lead-ins",native table,a single finding: use an action title and a chart,3.6,0.2,deck-studio corpus study (research/corpus-findings.md)
13,situation-context,consulting|banking,"situation, context, background, overview",What does the reader need to know first?,"The facts, measured; no adjectives",chart or short structured text,more than one page of background,3.0,1.1,deck-studio corpus study (research/corpus-findings.md)
14,options-evaluation,consulting,"options, alternatives, criteria, harvey balls, trade-offs","Which option is best, on what criteria?",Exclusive options; stated criteria; recommended row highlighted,Harvey-ball table (finance-charts.md),criteria that restate each other,0.6,1.1,deck-studio corpus study (research/corpus-findings.md)
15,timeline-roadmap,consulting,"roadmap, timeline, phases, gantt, plan, waves","When does what happen, and who owns it?","Workstreams, dates, owners, milestones",gantt bars (html-components.md / shapes),more than ~6 workstreams on one page,0.6,1.1,deck-studio corpus study (research/corpus-findings.md)
16,recommendation,consulting,"recommendation, next steps, decisions, ask",What must the reader decide or do?,"Decision, owner, date, value at stake",structured text or table,no owner or date,0.0,0.0,deck-studio corpus study (research/corpus-findings.md)
17,divider,consulting|banking,"section divider, agenda highlight, chapter",Where are we in the argument?,Agenda with current section highlighted (consulting) or title-only (banking),master layout,decks with fewer than 3 sections,4.8,13.4,deck-studio corpus study (research/corpus-findings.md)
